"theta1","theta2","Loss"
-0.97,-0.74,7460.27079428366
-0.97,-0.73,7455.86233300272
-0.97,-0.72,7451.51136349148
-0.97,-0.71,7447.21797996649
-0.97,-0.7,7442.98227559671
-0.97,-0.69,7438.80434249415
-0.97,-0.68,7434.68427170447
-0.97,-0.67,7430.62215319776
-0.97,-0.66,7426.61807585931
-0.97,-0.65,7422.67212748051
-0.97,-0.64,7418.78439474981
-0.97,-0.63,7414.95496324377
-0.97,-0.62,7411.18391741818
-0.97,-0.61,7407.47134059932
-0.97,-0.6,7403.81731497522
-0.97,-0.59,7400.22192158708
-0.97,-0.58,7396.68524032077
-0.97,-0.57,7393.20734989841
-0.97,-0.56,7389.78832787005
-0.97,-0.55,7386.42825060548
-0.97,-0.54,7383.12719328608
-0.97,-0.53,7379.88522989683
-0.97,-0.52,7376.70243321839
-0.97,-0.51,7373.57887481932
-0.97,-0.5,7370.51462504836
-0.97,-0.49,7367.50975302688
-0.97,-0.48,7364.56432664139
-0.97,-0.47,7361.67841253619
-0.97,-0.46,7358.85207610614
-0.97,-0.45,7356.08538148954
-0.97,-0.44,7353.37839156112
-0.97,-0.43,7350.73116792516
-0.97,-0.42,7348.14377090874
-0.97,-0.41,7345.61625955513
-0.97,-0.4,7343.14869161724
-0.97,-0.39,7340.7411235513
-0.97,-0.38,7338.39361051055
-0.97,-0.37,7336.10620633919
-0.97,-0.36,7333.87896356636
-0.97,-0.35,7331.71193340028
-0.97,-0.34,7329.60516572258
-0.97,-0.33,7327.55870908272
-0.97,-0.32,7325.57261069251
-0.97,-0.31,7323.64691642088
-0.97,-0.3,7321.78167078867
-0.97,-0.29,7319.97691696366
-0.97,-0.28,7318.2326967557
-0.97,-0.27,7316.54905061195
-0.97,-0.26,7314.92601761238
-0.97,-0.25,7313.36363546528
-0.97,-0.24,7311.86194050302
-0.97,-0.23,7310.42096767792
-0.97,-0.22,7309.04075055826
-0.97,-0.21,7307.72132132449
-0.97,-0.2,7306.46271076555
-0.97,-0.19,7305.26494827532
